route_id,name_zh,name_en,source_index,source_url,source_type
np_001,珠峰大本营徒步（EBC）,Everest Base Camp Trek,1,https://www.lonelyplanet.com/nepal/everest-region,official
np_001,珠峰大本营徒步（EBC）,Everest Base Camp Trek,2,https://www.alltrails.com/trail/nepal/province-1/everest-base-camp-trek,community
np_002,安娜普尔纳大环（ACT）,Annapurna Circuit Trek,1,https://www.lonelyplanet.com/nepal/annapurna-region,official
np_002,安娜普尔纳大环（ACT）,Annapurna Circuit Trek,2,https://www.alltrails.com/trail/nepal/annapurna-circuit-trek,community
np_003,安娜普尔纳大本营（ABC）,Annapurna Base Camp Trek,1,https://www.lonelyplanet.com/nepal/annapurna-region,official
np_003,安娜普尔纳大本营（ABC）,Annapurna Base Camp Trek,2,https://www.alltrails.com/trail/nepal/annapurna-base-camp-trek,community
np_004,布恩山小环线,Poon Hill Trek,1,https://www.lonelyplanet.com/nepal/annapurna-region,official
np_004,布恩山小环线,Poon Hill Trek,2,https://www.alltrails.com/trail/nepal/poon-hill-trek,community
np_005,朗当山谷徒步,Langtang Valley Trek,1,https://www.lonelyplanet.com/nepal/langtang-region,official
np_005,朗当山谷徒步,Langtang Valley Trek,2,https://www.alltrails.com/trail/nepal/langtang-valley-trek,community
np_006,木斯塘徒步,Upper Mustang Trek,1,https://www.lonelyplanet.com/nepal/mustang,official
np_006,木斯塘徒步,Upper Mustang Trek,2,https://www.nepaltrekkingpermit.com/upper-mustang/,community
np_007,岛峰攀登,Island Peak Climb,1,https://www.summitpost.org/island-peak,community
np_007,岛峰攀登,Island Peak Climb,2,https://www.lonelyplanet.com/nepal/everest-region,official
np_008,梅拉峰攀登,Mera Peak Climb,1,https://www.summitpost.org/mera-peak,community
np_008,梅拉峰攀登,Mera Peak Climb,2,https://www.lonelyplanet.com/nepal/everest-region,official
np_009,加德满都至博卡拉骑行,Kathmandu to Pokhara Cycling,1,https://www.lonelyplanet.com/nepal/transport,official
np_009,加德满都至博卡拉骑行,Kathmandu to Pokhara Cycling,2,https://www.cyclingabout.com/nepal-bike-touring-guide/,community
np_010,博卡拉至Jomsom摩托骑行,Pokhara to Jomsom Motorcycle,1,https://www.lonelyplanet.com/nepal/annapurna-region,official
np_010,博卡拉至Jomsom摩托骑行,Pokhara to Jomsom Motorcycle,2,https://www.advrider.com/nepal-motorcycle-travel/,community
jp_001,富士山登顶,Mount Fuji Climb,1,https://www.fujisan-climb.jp/en/,official
jp_001,富士山登顶,Mount Fuji Climb,2,https://www.japan-guide.com/e/e6901.html,community
jp_002,熊野古道,Kumano Kodo,1,https://www.tb-kumano.jp/en/,official
jp_002,熊野古道,Kumano Kodo,2,https://www.japan-guide.com/e/e4901.html,community
jp_003,北海道大雪山地徒步,Daisetsuzan Hiking,1,https://www.japan-guide.com/e/e6850.html,community
jp_003,北海道大雪山地徒步,Daisetsuzan Hiking,2,https://www.alltrails.com/parks/japan/daisetsuzan-national-park,community
